Sentence,Entities
Kindle was launched by Microsoft at the World Cup.,"[(23, 32, 'ORG'), (0, 6, 'PRODUCT'), (40, 49, 'EVENT')]"
Sarah visited Mumbai during the Olympics.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 40, 'EVENT')]"
The Last Supper is displayed at a museum in Paris.,"[(44, 49, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Olivia donated €1 billion to WHO.,"[(0, 6, 'PER'), (29, 32, 'ORG'), (15, 25, 'MONEY')]"
The Sydney Opera House is a famous monument in Paris.,"[(47, 52, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
iPhone was launched by Amazon at the Olympics.,"[(23, 29, 'ORG'), (0, 6, 'PRODUCT'), (37, 45, 'EVENT')]"
Liam visited London during the Olympics.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 39, 'EVENT')]"
Surface Pro was launched by Tesla at the World Cup.,"[(28, 33, 'ORG'), (0, 11, 'PRODUCT'), (41, 50, 'EVENT')]"
The Sydney Opera House is a famous monument in Cairo.,"[(4, 10, 'LOC'), (47, 52, 'LOC'), (4, 22, 'FACILITY')]"
"Apple raised ₹50,000 in Monday.","[(0, 5, 'ORG'), (24, 30, 'DATE'), (13, 20, 'MONEY')]"
Michael is an Japanese citizen working in Toronto.,"[(0, 7, 'PER'), (42, 49, 'LOC'), (14, 22, 'NATIONALITY')]"
Sarah wrote about Guernica in Spanish.,"[(0, 5, 'PER'), (18, 26, 'WORK_OF_ART'), (30, 37, 'LANGUAGE')]"
Michael donated $100 to UNICEF.,"[(0, 7, 'PER'), (24, 30, 'ORG'), (24, 26, 'ORG'), (16, 20, 'MONEY')]"
iPhone was launched by UN at the Comic-Con.,"[(23, 25, 'ORG'), (0, 6, 'PRODUCT'), (33, 42, 'EVENT')]"
David donated $100 to Tesla.,"[(0, 5, 'PER'), (22, 27, 'ORG'), (14, 18, 'MONEY')]"
Emma visited Cairo during the Super Bowl.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 40, 'EVENT')]"
iPhone was launched by UNICEF at the Super Bowl.,"[(23, 29, 'ORG'), (23, 25, 'ORG'), (0, 6, 'PRODUCT'), (37, 47, 'EVENT')]"
Robert is an American citizen working in Toronto.,"[(0, 6, 'PER'), (41, 48, 'LOC'), (13, 21, 'NATIONALITY')]"
WHO raised $5 million in Monday.,"[(0, 3, 'ORG'), (25, 31, 'DATE'), (11, 21, 'MONEY')]"
Olivia visited Mumbai during the Super Bowl.,"[(0, 6, 'PER'), (15, 21, 'LOC'), (33, 43, 'EVENT')]"
"Google raised ₹50,000 in December 2024.","[(0, 6, 'ORG'), (25, 38, 'DATE'), (14, 21, 'MONEY')]"
Emma is an American citizen working in Rome.,"[(0, 4, 'PER'), (39, 43, 'LOC'), (11, 19, 'NATIONALITY')]"
Robert wrote about Guernica in Hindi.,"[(0, 6, 'PER'), (19, 27, 'WORK_OF_ART'), (31, 36, 'LANGUAGE')]"
Guernica is displayed at a museum in New York.,"[(37, 45, 'LOC'), (0, 8, 'WORK_OF_ART')]"
The Eiffel Tower is a famous monument in Cairo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
The Burj Khalifa is a famous monument in Toronto.,"[(41, 48, 'LOC'), (4, 16, 'FACILITY')]"
Olivia wrote about The Last Supper in Spanish.,"[(0, 6, 'PER'), (19, 34, 'WORK_OF_ART'), (38, 45, 'LANGUAGE')]"
Emma donated €1 billion to Netflix.,"[(0, 4, 'PER'), (27, 34, 'ORG'), (13, 23, 'MONEY')]"
John is an Canadian citizen working in Mumbai.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
The Last Supper is displayed at a museum in Toronto.,"[(44, 51, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Galaxy S22 was launched by NASA at the Super Bowl.,"[(27, 31, 'ORG'), (0, 10, 'PRODUCT'), (39, 49, 'EVENT')]"
The Last Supper is displayed at a museum in Tokyo.,"[(44, 49, 'LOC'), (0, 15, 'WORK_OF_ART')]"
The Last Supper is displayed at a museum in Berlin.,"[(44, 50, 'LOC'), (0, 15, 'WORK_OF_ART')]"
David wrote about The Last Supper in Mandarin.,"[(0, 5, 'PER'), (18, 33, 'WORK_OF_ART'), (37, 45, 'LANGUAGE')]"
The Empire State Building is a famous monument in Toronto.,"[(50, 57, 'LOC'), (4, 25, 'FACILITY')]"
Emma is an American citizen working in Berlin.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
Galaxy S22 was launched by Apple at the Comic-Con.,"[(27, 32, 'ORG'), (0, 10, 'PRODUCT'), (40, 49, 'EVENT')]"
Olivia wrote about Mona Lisa in Spanish.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 39, 'LANGUAGE')]"
The Sydney Opera House is a famous monument in Berlin.,"[(47, 53, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
Mona Lisa is displayed at a museum in Rome.,"[(38, 42, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Olivia wrote about Mona Lisa in Hindi.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 37, 'LANGUAGE')]"
UN follows the GDPR strictly.,"[(0, 2, 'ORG'), (15, 19, 'LAW')]"
"Apple raised ₹50,000 in December 2024.","[(0, 5, 'ORG'), (24, 37, 'DATE'), (13, 20, 'MONEY')]"
Sophia donated €1 billion to Netflix.,"[(0, 6, 'PER'), (29, 36, 'ORG'), (15, 25, 'MONEY')]"
Tesla follows the GDPR strictly.,"[(0, 5, 'ORG'), (18, 22, 'LAW')]"
UNICEF announced a new iPhone on January 1st.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (33, 44, 'DATE'), (23, 29, 'PRODUCT')]"
NASA announced a new MacBook Pro on January 1st.,"[(0, 4, 'ORG'), (36, 47, 'DATE'), (21, 32, 'PRODUCT')]"
Alice visited Berlin during the Comic-Con.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 41, 'EVENT')]"
David visited Toronto during the Olympics.,"[(0, 5, 'PER'), (14, 21, 'LOC'), (33, 41, 'EVENT')]"
iPhone was launched by Netflix at the Coachella.,"[(23, 30, 'ORG'), (0, 6, 'PRODUCT'), (38, 47, 'EVENT')]"
"Apple raised ₹50,000 in Monday.","[(0, 5, 'ORG'), (24, 30, 'DATE'), (13, 20, 'MONEY')]"
Google announced a new Kindle on April.,"[(0, 6, 'ORG'), (33, 38, 'DATE'), (23, 29, 'PRODUCT')]"
Amazon announced a new Galaxy S22 on December 2024.,"[(0, 6, 'ORG'), (37, 50, 'DATE'), (23, 33, 'PRODUCT')]"
The Last Supper is displayed at a museum in Tokyo.,"[(44, 49, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Alice visited Sydney during the Super Bowl.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 42, 'EVENT')]"
Olivia donated $5 million to UNICEF.,"[(0, 6, 'PER'), (29, 35, 'ORG'), (29, 31, 'ORG'), (15, 25, 'MONEY')]"
Guernica is displayed at a museum in Tokyo.,"[(37, 42, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Emma visited Cairo during the Olympics.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 38, 'EVENT')]"
Guernica is displayed at a museum in Rome.,"[(37, 41, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Robert wrote about Starry Night in Hindi.,"[(0, 6, 'PER'), (19, 31, 'WORK_OF_ART'), (35, 40, 'LANGUAGE')]"
Amazon announced a new MacBook Pro on January 1st.,"[(0, 6, 'ORG'), (38, 49, 'DATE'), (23, 34, 'PRODUCT')]"
Apple raised $5 million in 2023.,"[(0, 5, 'ORG'), (27, 31, 'DATE'), (13, 23, 'MONEY')]"
Michael wrote about The Last Supper in Mandarin.,"[(0, 7, 'PER'), (20, 35, 'WORK_OF_ART'), (39, 47, 'LANGUAGE')]"
The Last Supper is displayed at a museum in Rome.,"[(44, 48, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Tesla follows the Patent Act strictly.,"[(0, 5, 'ORG'), (18, 28, 'LAW')]"
Apple raised €200 in June 5.,"[(0, 5, 'ORG'), (21, 27, 'DATE'), (13, 17, 'MONEY')]"
John visited New York during the Coachella.,"[(0, 4, 'PER'), (13, 21, 'LOC'), (33, 42, 'EVENT')]"
Starry Night is displayed at a museum in Rome.,"[(41, 45, 'LOC'), (0, 12, 'WORK_OF_ART')]"
PlayStation was launched by UNICEF at the Comic-Con.,"[(28, 34, 'ORG'), (28, 30, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
Robert wrote about Starry Night in Mandarin.,"[(0, 6, 'PER'), (19, 31, 'WORK_OF_ART'), (35, 43, 'LANGUAGE')]"
Guernica is displayed at a museum in Toronto.,"[(37, 44, 'LOC'), (0, 8, 'WORK_OF_ART')]"
David visited Mumbai during the Comic-Con.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 41, 'EVENT')]"
Sophia visited Tokyo during the World Cup.,"[(0, 6, 'PER'), (15, 20, 'LOC'), (32, 41, 'EVENT')]"
iPhone was launched by UNICEF at the Super Bowl.,"[(23, 29, 'ORG'), (23, 25, 'ORG'), (0, 6, 'PRODUCT'), (37, 47, 'EVENT')]"
The Empire State Building is a famous monument in Tokyo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
The Burj Khalifa is a famous monument in Cairo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
Amazon raised €200 in April.,"[(0, 6, 'ORG'), (22, 27, 'DATE'), (14, 18, 'MONEY')]"
Mona Lisa is displayed at a museum in Paris.,"[(38, 43, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Microsoft follows the GDPR strictly.,"[(0, 9, 'ORG'), (22, 26, 'LAW')]"
Mona Lisa is displayed at a museum in Sydney.,"[(38, 44, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Kindle was launched by Microsoft at the Super Bowl.,"[(23, 32, 'ORG'), (0, 6, 'PRODUCT'), (40, 50, 'EVENT')]"
NASA announced a new iPhone on December 2024.,"[(0, 4, 'ORG'), (31, 44, 'DATE'), (21, 27, 'PRODUCT')]"
NASA announced a new iPhone on August 15.,"[(0, 4, 'ORG'), (31, 40, 'DATE'), (21, 27, 'PRODUCT')]"
Liam visited London during the Comic-Con.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 40, 'EVENT')]"
The Last Supper is displayed at a museum in Berlin.,"[(44, 50, 'LOC'), (0, 15, 'WORK_OF_ART')]"
